cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
上海CGV星星影城(大华店),1.0万,246,8,40.6
北京CGV影城(顺义店),9998,225,6,44.4
北京嘉华国际影城(学清路店),9991,239,6,41.8
武汉CGV影城(永旺金桥IMAX店),9977,302,8,33.0
昆明CGV影城(呈贡IMAX店),9975,295,7,33.8
中山CGV星星影城(兴中广场IMAX店),9972,290,6,34.3
重庆CGV影城(茶园店),9963,282,7,35.3
深圳正佳国际影城(光明店),9923,293,11,33.8
广州万达影城(白云万达广场店),9905,243,5,40.7
厦门万达影城(SM广场店),9902,233,6,42.4
北京天幕新彩云国际影城,9880,293,7,33.7
昆明喜满客影城,9869,314,8,31.4
武汉金逸影城(销品茂IMAX店),9840,326,6,30.1
上海中影国际影城(长泰广场店),9779,249,4,39.2
深圳橙天嘉禾影院(卓悦汇店),9749,232,5,42.0
武汉城市广场摩尔国际电影城(后湖店),9715,328,7,29.6
深圳保利国际影城(大中华店),9701,302,9,32.1
哈尔滨万达国际影城(衡山店),9662,275,7,35.1
上海地中海影城,9653,265,6,36.4
泸州CGV影城(万象汇IMAX店),9653,295,6,32.7
北京太平洋影城(北京中关村店),9639,211,5,45.6
杭州百老汇影城(万象城店),9585,195,4,49.1
荆州江汉银兴影都,9581,343,9,27.9
赤峰凯诺星空国际影城(敖汉店),9575,323,19,29.6
北京星美影商城(金源IMAX店),9549,185,4,51.6
上海大悦城新恒星影城(大悦城店),9547,206,6,46.3
昆明万达影城(西山万达广场店),9527,259,4,36.7
成都成都海滨城激光4DMX影院,9522,386,12,24.6
郑州万达国际影城(二七万达店),9498,285,4,33.3
广州中华广场电影城,9484,269,5,35.2
杭州CGV影城(乐堤港IMAX店),9471,251,5,37.7
杭州中影国际影城(西溪印象城店),9463,246,6,38.4
长沙横店电影城,9460,336,5,28.1
大连百丽宫(LUXE巨幕)影城恒隆广场店,9453,262,5,36.0
佳木斯万达影城(万达广场店),9449,260,5,36.3
南宁沃美影城(万象城店),9425,196,4,48.0
上海CGV影城(安亭店),9423,235,6,40.0
北京沃美影城(常营店),9423,228,5,41.3
南通更俗剧院,9420,321,9,29.3
大连CGV影城(东港IMAX店),9418,296,6,31.8
武汉巨幕影城(光谷广场资本大厦店),9415,339,6,27.7
南昌CGV影城(凯德店),9408,288,7,32.6
北京万达影城(银兴光魔店),9390,216,5,43.4
成都CGV影城(卓锦店),9387,276,7,34.0
上海世纪友谊影城,9372,262,6,35.7
武汉万达影城(菱角湖万达广场店),9367,292,6,32.0
青岛SFC上影影城(青岛金狮IMAX店),9354,300,8,31.1
洛阳奥斯卡新都汇电影城(解放路店),9312,322,8,28.9
宜兴CGV影城(八佰伴店),9270,233,5,39.7
武汉CGV影城(光谷IMAX店),9250,303,6,30.5
济南万达影城(高新店),9238,216,4,42.7
重庆UME影城(九龙坡店),9229,285,4,32.3
长沙CGV星星影城(芙蓉店),9227,259,7,35.6
天津CGV影城(黄河道店),9197,272,6,33.8
海口星轶IMAX影城(龙华吾悦广场旗舰店),9159,375,7,24.4
北京保利国际影城(苹果园店),9157,184,5,49.7
太原万象影城太原IMAX店,9126,215,5,42.4
武汉CGV影城(江腾IMAX店),9115,284,7,32.0
宿州砀山嘉禾影院中心店,9111,334,12,27.2
深圳深圳戏院,9099,272,7,33.4
杭州百美汇影城(嘉里中心店),9082,181,4,50.1
大连博纳国际影城IMAX(中央大道店),9062,310,8,29.2
无锡CGV影城(盛岸IMAX店),9056,272,6,33.2
广州百丽宫影城(天环店),9052,211,8,42.9
苏州苏艺影城(艺术中心店),8963,226,5,39.6
江门CGV影城(蓬江IMAX店),8946,242,5,36.9
成都太平洋影城(王府井店),8931,261,4,34.2
深圳中影国际影城(南山欢乐海岸店),8922,210,5,42.4
深圳万象影城布吉IMAX店,8908,211,5,42.2
绵阳万达影城(涪城万达广场店),8897,253,4,35.1
上海CGV影城(白玉兰广场IMAX店),8872,202,5,43.9
北京耀莱成龙国际影城(慈云寺店),8845,220,5,40.2
福州金逸影城IMAX(万宝商圈店),8840,242,3,36.5
南京幸福蓝海国际影城(江宁金鹰店),8802,293,6,30.0
长春万达国际影城(红旗街店),8802,224,5,39.2
上海上影CGV(大宁店),8798,174,5,50.5
合肥万达影城(之心城光魔店),8797,231,5,38.0
乌鲁木齐103电影公园(钱塘江路店),8784,267,6,32.8
广州麦希国际影城(广州骏壹万邦店),8748,288,6,30.3
南宁中影国际影城(会展航洋城购物中心店),8732,241,5,36.2
西安喜满客影城(汉神广场店),8727,299,4,29.1
邯郸CGV影城(环球中心IMAX店),8704,279,7,31.1
武汉CGV影城(凯德西城IMAX店),8696,262,5,33.1
呼和浩特横店电影城(海亮广场店),8685,285,5,30.4
西安万达国际影城(李家村店),8665,225,4,38.5
大连博纳国际影城(亿合城店),8656,311,7,27.8
盐城CGV影城(中南城IMAX店),8655,272,6,31.8
重庆万达影城(大融城店),8603,277,4,31.0
芜湖CGV影城(中央城店),8585,298,6,28.8
银川金凤凰电影城(新华街店),8584,268,8,32.0
西安大地影院(小寨店),8558,288,7,29.7
上海百丽宫影城(长宁来福士店),8554,155,3,55.1
无锡大世界影城(中山路IMAX店),8545,262,6,32.6
天津中影国际影城(天津西青永旺店),8480,270,6,31.4
