cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
上海万裕国际影城(淮海店),1.0万,288,14,35.9
上海万达影城(江桥万达广场店),1.0万,230,4,45.0
常州中影国际影城(莱蒙店),1.0万,341,8,30.3
北京新华国际影城(大钟寺店),1.0万,298,6,34.6
长沙CGV影城(星沙IMAX店),1.0万,259,6,39.8
乌鲁木齐i尚花田电影小镇,1.0万,315,5,32.6
济南百丽宫影城(恒隆广场店),1.0万,261,6,39.3
重庆CGV影城(茶园店),1.0万,282,6,36.3
武汉金逸影城(王家湾店),1.0万,288,5,35.5
上海SFC上影影城(徐汇绿地滨江IMAX店),1.0万,218,6,46.9
上海SFC上影影城(美罗城店),1.0万,186,8,55.0
北京沃美影城(常营店),1.0万,235,5,43.5
广州中华广场电影城,1.0万,308,6,33.1
上海CGV影城(白玉兰广场IMAX店),1.0万,200,4,51.0
杭州中影国际影城(西溪印象城店),1.0万,267,6,37.6
广州飞扬影城(乐峰店),1.0万,269,5,37.3
北京金逸影城(双桥店),1.0万,251,5,39.8
重庆CGV影城(源著IMAX店),9978,268,5,37.2
天津CGV影城(梅江店),9956,286,8,34.8
西安CGV影城(万象城店),9916,289,6,34.3
合肥金逸影城(家天下店),9905,451,11,21.9
沈阳今世界影城(大都汇店),9904,340,6,29.1
上海万达影城(周浦万达广场店),9877,223,4,44.2
宁波CGV影城(北仑店),9833,270,5,36.4
郑州万达国际影城(二七万达店),9793,285,4,34.3
长沙CGV星星影城(芙蓉店),9745,268,7,36.3
大连博纳国际影城(亿合城店),9720,343,7,28.3
广州UA IMAX花城汇电影城,9709,207,3,46.9
昆明万达影城(同德广场店),9697,228,4,42.5
武汉万达影城(江汉路悦荟广场店),9645,338,6,28.5
西安喜满客影城(汉神广场店),9617,363,5,26.4
天津CGV影城(黄河道店),9589,293,7,32.7
上海CGV影城(浦东印象城店),9578,197,5,48.6
梅州万达影城(梅州万达广场店),9567,287,5,33.3
杭州百美汇影城(嘉里中心店),9546,177,4,53.9
石家庄万象影城(石家庄万象影城激光IMAX店),9545,257,5,37.1
成都万达影城(金牛万达广场店),9522,256,4,37.1
宜宾太平洋影城(民主路店),9454,370,14,25.5
北京首都电影院(金融街店),9420,190,6,49.5
中山CGV星星影城(兴中广场IMAX店),9409,270,6,34.8
乌鲁木齐新疆人民剧场(南门),9408,296,8,31.7
上海国泰电影院,9363,229,13,40.8
天津中影国际影城(津南永旺店),9357,292,7,32.0
深圳卢米埃华强北九方IMAX影城,9310,187,3,49.7
宿州砀山嘉禾影院中心店,9300,326,11,28.5
南京万达影城(新街口店),9271,277,5,33.4
北京中影星美国际影城(耳东)世贸天阶店,9250,220,4,42.0
成都CGV影城(卓锦店),9240,273,7,33.8
达拉特旗海润金亿影城(达拉特旗店),9237,232,7,39.8
武汉万达影城(菱角湖万达广场店),9217,278,5,33.1
上海金谊华夏影城(三林店),9213,284,8,32.4
江门万达影城(新会万达广场店),9203,282,5,32.6
宜兴CGV影城(八佰伴店),9178,231,5,39.7
北京华夏影城(环宇荟店),9141,249,8,36.7
邯郸CGV影城(环球中心IMAX店),9116,279,6,32.6
上海世纪友谊影城,9072,234,5,38.7
大连CGV影城(东港IMAX店),9072,267,5,33.9
泸州CGV影城(万象汇IMAX店),9057,262,6,34.5
哈尔滨万达国际影城(哈西店),9017,244,5,36.9
西安奥斯卡盛龙国际影城(盛龙广场店),9017,285,5,31.6
上海上影CGV(大宁店),9003,169,4,53.2
上海CGV影城(安亭店),8989,228,6,39.4
洛阳万达影城(世茂广场店),8979,273,6,32.8
昆明喜满客影城,8943,281,7,31.8
太原全美影院(太原N1店),8941,240,6,37.2
长沙中影星美国际影城(万家丽店),8932,295,3,30.2
太原万达影城(龙湖店),8923,230,4,38.7
北京万达影城(银兴光魔店),8915,204,5,43.7
上海卢米埃影城(紫荆广场店),8915,256,7,34.8
广州万达影城(白云万达广场店),8901,173,3,51.4
上海CGV星星影城(大华店),8863,225,6,39.3
南宁中影环球影城(百盛步行街店),8858,302,4,29.3
吉林万达国际影城(财富广场店),8835,279,7,31.6
南通幸福蓝海国际影城(南通IMAX店),8808,285,6,30.9
上海SFC上影国际影城港城店,8781,232,6,37.8
宁波万达影城(鄞州万达广场店),8758,201,4,43.5
扬州扬州喜满客国际影城(京华城店),8751,267,5,32.7
