nickName,cityName,score,content,startTime
莫语470,太原,4.5,好看，特效超赞的,2018-12-08 10:19:25
ZHb618984520,武汉,5.0,电影超级棒，从头到尾让你保持一种兴奋感！,2018-12-08 10:19:23
aly-,西安,5.0,海王太帅了吧,2018-12-08 10:19:11
老子法布雷加斯,南京,5.0,绝对精彩分分钟不容错过,2018-12-08 10:18:55
lamhipin,广州,5.0,一般一般，世界第三。,2018-12-08 10:18:37
XNN591850848,富阳,4.5,不错，挺好的啊,2018-12-08 10:18:29
侯东杰,重庆,5.0,精彩好看，太喜欢温子仁,2018-12-08 10:18:11
CORE,岳阳,5.0,太好看了，DC翻身之作,2018-12-08 10:18:05
lily,宜宾,4.5,人物造型设计感强，特效不错👍,2018-12-08 10:18:03
pfjset,宁波,2.0,后期那个沙漠景也太假了，,2018-12-08 10:17:37
Vnj115147957,贵港,5.0,超级好看，海王太帅了，特效也超级好,2018-12-08 10:17:23
Gestapo,阳江,5.0,两大女主角都是女神级别，很好，很震撼。,2018-12-08 10:17:22
万年青,丰城,5.0,好看并有教育意义,2018-12-08 10:17:20
fengke1978,保定,5.0,海底版的阿凡达，指环王，角斗士。非常好看！,2018-12-08 10:17:19
RDi837268211,长沙,5.0,真的嗨翻了！都是大鱼,2018-12-08 10:16:56
vHF103050913,宁波,5.0,好看，刺激……,2018-12-08 10:16:51
代毛毛,宜宾,5.0,画面感很强，超级好看,2018-12-08 10:16:48
鱼小丹,金坛,4.0,场景是真不错，大海的风景看的人贼舒服，打斗也似乎精彩的，值得看。,2018-12-08 10:16:29
TqP794993081,平顶山,4.5,喜欢看这一部，挺不错的,2018-12-08 10:16:27
桃柒柒丶,昆明,5.0,红发湄拉公主妥妥的真人版小美人鱼，跟海王的CP好搭呀！特效满分！温子仁好像很喜欢帕特里克威尔森，好多片子都合作啦。总的来说值得二刷！,2018-12-08 10:16:24
II148,深圳,5.0,好震撼，好嗨哟,2018-12-08 10:16:24
藝直前进🔝,北京,5.0,海王特效绝了，继神奇女侠之后DC又一漂亮的翻身仗，另外，吹爆湄拉小姐姐的颜,2018-12-08 10:16:22
Onz243664982,常州,5.0,今年感觉最好看的一部 如果4D 我感觉我看的都要飞了  超级好看 不看你会后悔,2018-12-08 10:16:19
